ID,353_B_glu_14,353_B_mal_2,353_C_glu_15,353_C_mal_3,535_A_glu_13,535_A_mal_1,570_A_glu_16,570_A_mal_4,570_B_glu_17,570_B_mal_5,570_C_glu_18,570_C_mal_6,580_A_glu_19,580_A_mal_7,580_B_glu_20,580_B_mal_8,580_C_glu_21,580_C_mal_9,584_A_glu_22,584_A_mal_10,584_B_glu_23,584_B_mal_11,584_C_glu_24,584_C_mal_12,,,,,,,
YALI0C15323g,0.01000595,0.00627859,0.008315807,0.010583528,0.007767438,0.007551835,0.007651424,0.00813596,0.005672707,0.007111552,0.007875286,0.00704485,0.007971641,0.007869251,0.010945113,0.006641277,0.008707371,0.006623118,0.007130616,0.005567961,0.007987084,0.005258255,0.00721685,0.006909831,,,,,,,
YALI0C19096g,0.008336554,0.004671728,0.008313803,0.011144537,0.012300779,0.008718036,0.002653753,0.005302559,0.006358482,0.007905132,0.009498726,0.007494816,0.006032566,0.007661243,0.003736369,0.005893854,0.011336414,0.008136019,0.008749106,0.008510731,0.009027176,0.010750363,0.009163739,0.00134347,,,,,,,
YALI0C21789g,0.009989136,0.011805534,0.010812468,0.01029886,0.011333143,0.010373748,0.008704913,0.009947438,0.011305236,0.012202315,0.010934031,0.011878316,0.008631449,0.013114388,0.010873687,0.008333205,0.012138903,0.009849841,0.008867907,0.009677405,0.010271706,0.01152656,0.009986046,0.008449352,,,,,,,
YALI0C22394g,0,0,0,0,0,0,2.12896E-05,0,2.00225E-05,0,0,0,0,0,0,0,0,0,0,3.06346E-05,0,0,0,0.000159895,,,,,,,
YALI0C23379g,0.005634905,0.002974784,0.002783911,0.003581983,0.004112935,0.003947676,0.003227398,0.00375398,0.004036893,0.001954447,0.002784375,0.002812418,0.003421218,0.003910807,0.004326444,0.002321304,0.003509347,0.004339829,0.003803407,0.003744814,0.003043212,0.004323957,0.002075786,0.00429104,,,,,,,
YALI0D03949g,0,0,0.000145916,0.000286712,0,0.00013919,0.00012323,0.00016742,0,0,0.00018636,0,0,0.00092994,0.00042521,0,0,0,0,0,0.000178391,0.000167527,0.000130876,0,,,,,,,
YALI0D04884g,0.000122039,0.00787373,0.000122923,0.007606621,0,0.004272684,0.00067756,0.000338215,0.000362106,0.000177899,0.000202631,0.000290033,0.000150549,0.00021506,0,0,0,0.00022247,0.000161113,0.000160818,0,0.000227635,0,0.00030065,,,,,,,
YALI0D05676g,0,4.04817E-05,9.15645E-05,0.000183045,8.80264E-05,0.000137216,2.48661E-05,0.000231327,0.000256586,8.83429E-05,7.91555E-05,0.000182876,0.000103821,0,6.47015E-05,0.000195392,5.39035E-05,0.000149423,4.5706E-05,0.000169022,0.000125172,0.000236159,0,0.00017041,,,,,,,
YALI0D05697g,0.180178638,0.220672415,0.152258451,0.261314283,0.158321244,0.198807072,0.138848423,0.158282018,0.120274703,0.157428772,0.17576969,0.16663572,0.167417223,0.174956992,0.092708818,0.121238168,0.135782875,0.132580027,0.143684642,0.130747542,0.146135805,0.13536429,0.180197382,0.154800759,,,,,,,
YALI0D06578g,0.003081387,0.00261359,0.001564555,0.002463042,0.003092177,0.001009064,0.002439916,0.001169658,0.002100432,0.002089953,0.002127388,0.001487035,0.001997274,0.001038948,0.002944264,0.001686713,0.001807473,0.002662739,0.001577402,0.001778946,0.002848242,0.001647012,0.000855533,0.001267857,,,,,,,
YALI0D08635g,0.010858212,0.005858799,0.009238857,0.004860526,0.009573501,0.004937402,0.010534212,0.006348573,0.00993031,0.007900128,0.012219372,0.007333034,0.008798108,0.006736758,0.009473022,0.008733951,0.009290128,0.008428209,0.009815096,0.008898904,0.009236578,0.008376282,0.009244128,0.009044845,,,,,,,
YALI0D10274g,0.019023514,0.005260289,0.017553378,0.016365626,0.014692061,0.019706803,0.016602555,0.019821201,0.017469927,0.018858989,0.016676393,0.016338893,0.020256721,0.018644673,0.013674974,0.017559816,0.019622226,0.016487568,0.017811053,0.015615733,0.016761062,0.015466923,0.01855325,0.015898995,,,,,,,
YALI0D11125g,0.001749244,0.000453014,0.000116467,0.001470056,0.001250305,0.001256955,0.000605132,0.001442566,0.001330651,0.000769118,0.000666655,0.000425524,0.001183733,0.000821627,0.001552135,0.000149131,0.000508885,0.000698349,0.001623938,0.001252369,0.001874205,0.000334866,0.001649319,0.000315365,,,,,,,
YALI0D11627g,0.00050753,0.000563817,0.00036192,9.7764E-05,0.000105113,0.00013393,0.000471362,0.00038017,0.000900056,0.000302692,0.000455903,0.000379024,0.000411976,0.000420001,0.000472625,0.000759602,0.00055823,0.000683698,0.000781033,0.000466883,9.29933E-05,0,0.000207649,0.000346704,,,,,,,
YALI0E23185g,0.087174556,0.079799666,0.083860922,0.082351815,0.087185637,0.077408044,0.088048013,0.082300095,0.073314865,0.076857153,0.083229483,0.087048946,0.093464836,0.089109611,0.105445348,0.076656428,0.089716686,0.057169396,0.09126837,0.079175114,0.102670648,0.099247395,0.094669275,0.083640967,,,,,,,
YALI0E23749g,0.012274913,0.011229624,0.012898474,0.011435844,0.012827038,0.010813855,0.012483373,0.011610246,0.013042967,0.011238526,0.013324917,0.013971558,0.0123884,0.011967654,0.011862622,0.013974957,0.013636336,0.013193559,0.011735809,0.012838531,0.012089017,0.01284139,0.013920105,0.013487922,,,,,,,
YALI0E26686g,0.000629469,0.000560345,0.000483619,0.000631716,0.000586163,0.000705116,0.00064609,0.000409721,0.000551274,0.000415506,0.000558456,0.000347379,0.000534557,0,0.000398356,0.000542594,0.000469494,0,0,0.000344474,0.000431181,0,0.000513648,0.000499106,,,,,,,
YALI0E27616g,0.008829881,0.009220348,0.01024115,0.008337155,0.008001737,0.008813994,0.008228484,0.008200675,0.010847769,0.00986611,0.009149173,0.008662042,0.009633937,0.008210067,0.009782599,0.008997453,0.009394501,0.009764523,0.010135423,0.009987028,0.010707891,0.011728871,0.008803317,0.009013913,,,,,,,
YALI0E28930g,0.011279204,0.011525839,0.012208127,0.011544485,0.011454619,0.008500924,0.010398542,0.007870851,0.010076363,0.011928045,0.011358126,0.011917013,0.0110616,0.012289095,0.012076015,0.011249185,0.012178597,0.008844059,0.010851798,0.009681731,0.010277828,0.010280153,0.010425167,0.007077773,,,,,,,
YALI0E30602g,0.220484855,0.213734868,0.239562963,0.235249315,0.238004343,0.202071978,0.209909723,0.211522653,0.187014378,0.205671178,0.190435732,0.19319357,0.223732302,0.193648404,0.174226575,0.173310535,0.194353805,0.17974633,0.198799378,0.198347037,0.217409317,0.194275029,0.198673268,0.209654694,,,,,,,
YALI0E31280g,0.001050576,0.000912424,0.000938418,0.001268007,0.00187018,0.000647906,0.001139112,0,0.000612216,0.000711986,0.00147327,0.000674361,0.000548713,0.00097535,0.000618587,0.000460476,0.001344483,0.001103799,0.001221066,0.001081476,0.001599251,0.000955057,0.001761539,0.000353789,,,,,,,
YALI0E31766g,0.008071119,0.00487957,0.006275092,0.009675045,0.009905125,0.010100693,0.009911969,0.008014456,0.006546155,0.009677939,0.007888374,0.00865691,0.007995851,0.008399205,0.011032506,0.008125242,0.008257769,0.004006798,0.008019277,0.006596335,0.009372856,0.010838069,0.007937464,0.007215767,,,,,,,
YALI0E31772g,0.004451418,0.00380331,0.003870212,0.003754536,0.004180538,0.003862354,0.005352228,0.004748378,0.005204668,0.00458005,0.004010082,0.00435101,0.003830199,0.005267096,0.004940747,0.003969046,0.004928987,0.004434055,0.004341122,0.003644888,0.005297094,0.003991826,0.005223788,0.002949774,,,,,,,
TIM11,0.053195349,0.064051514,0.058292236,0.063600416,0.057421513,0.064349287,0.063605348,0.063557065,0.058841816,0.067684037,0.057782575,0.06890989,0.059715802,0.071271667,0.059544887,0.066649423,0.0587668,0.055627169,0.056270743,0.064197517,0.058645487,0.063083853,0.062524432,0.058844798,,,,,,,
YALI0E32208g,0.089238755,0.085254851,0.072876653,0.071507356,0.079824549,0.081793771,0.072978686,0.051769115,0.065519975,0.063561355,0.065658249,0.070876558,0.058051114,0.087435226,0.082627519,0.053131544,0.079888459,0.076977006,0.070182083,0.064827165,0.068639186,0.060921402,0.067584555,0.068269665,,,,,,,
YALI0E32494g,0.006252955,0.014489729,0.005999255,0.016116371,0.006999937,0.019715208,0.007764898,0.017894241,0.006947442,0.01731581,0.00690662,0.020348082,0.008061132,0.014923785,0.006823528,0.01695925,0.00554526,0.018205597,0.007985975,0.016685211,0.009006232,0.018898618,0.007061138,0.016717387,,,,,,,
YALI0E32736g,0.040338842,0.040463003,0.042199655,0.038296595,0.04106265,0.037398969,0.043270956,0.040724035,0.049793376,0.03689888,0.051199474,0.04031592,0.043323039,0.04457032,0.037061626,0.038915063,0.039690187,0.039684123,0.046433386,0.041834695,0.046905313,0.046141809,0.045155293,0.038966229,,,,,,,
YALI0E34540g,0,0.00011058,0,0,0,0,0,0,0,8.68896E-05,0.000121574,0,0,0.000118378,0,0,0,7.12881E-05,0,6.28704E-05,0,0,0,0,,,,,,,
YALI0E34826g,0.056248344,0.043992031,0.061258026,0.047498064,0.050871035,0.044783085,0.054434684,0.047493248,0.061505355,0.045881361,0.057979983,0.042426085,0.056370129,0.046562024,0.057981482,0.048010016,0.053796046,0.043983625,0.057368738,0.05290733,0.049466729,0.038964766,0.05171939,0.072884361,,,,,,,
YALI0E08085g,0,0.000333812,0,0.002228662,0.004201497,0.0031046,0.005017941,0.005277821,0,0.005087342,0,0.005687613,0.004632723,0,0,0.005067448,0.004635561,0.00458162,0,0.000698279,0.005260724,0.006102667,0.005531171,0.000537097,,,,,,,
YALI0E12628g,0.008887388,0.00816024,0.007716222,0.007232279,0.00689115,0.006460871,0.007711548,0.009462984,0.00672294,0.007372541,0.007920842,0.007753914,0.007695737,0.008116879,0.005394672,0.007474905,0.008553015,0.007197128,0.009256598,0.00861752,0.006753709,0.008797235,0.006685426,0.007251954,,,,,,,
YALI0E15136g,0.002885908,0.002928172,0.003641315,0.001385534,0.003338284,0.003440516,0.003043807,0.002032622,0.003233112,0.001342871,0.002887464,0.003311265,0.001721129,0.001373315,0.002199104,0.003811625,0.00368459,0.001522093,0.002965009,0.001507697,0.002678352,0.001126043,0.002556458,0.002855573,,,,,,,
YALI0E21472g,0.001488433,0.001533032,0.000960486,0.001764015,0.000687402,0.001687071,0.00104828,0.001516642,0.002014141,0.002906739,0.00100855,0.001614588,0.001111817,0.001380038,0.001167528,0.000577777,0.001339378,0.001666017,0.001539039,0.001123027,0.001177385,0.001472123,0.001416208,0.001389189,,,,,,,
YALI0A09845g,0.01883062,0.012976645,0.018953963,0.015941175,0.015978577,0.011357625,0.015948715,0.017972156,0.019267261,0.016498931,0.018565886,0.015807346,0.018203615,0.016053397,0.015611513,0.015021454,0.016151657,0.014736256,0.015858959,0.014410173,0.017210025,0.01410472,0.015253201,0.015239701,,,,,,,
YALI0A16868g,0.005842606,0.007950302,0.008932936,0.01045652,0.00897468,0.010363681,0.009015574,0.010626229,0.008687195,0.006411938,0.009884388,0.008588121,0.009150487,0.009304184,0.005440818,0.008758473,0.012175127,0.005672751,0.010936511,0.006727751,0.007138684,0.005768247,0.010835746,0.006361694,,,,,,,
YALI0A17946g,0.017578955,0.015031628,0.008229728,0.014013932,0.017434323,0.018307167,0.016002372,0.01681612,0.013741427,0.018574009,0.013999192,0.015282612,0.01709695,0.01579558,0.015698752,0.015092582,0.014202525,0.018287178,0.010768195,0.012142567,0.0154548,0.01884448,0.016534244,0.013107206,,,,,,,
YALI0A20867g,0.025975919,0.017422451,0.024374084,0.018254491,0.026096026,0.014275781,0.020041633,0.015847531,0.022020538,0.019998959,0.022256677,0.017537947,0.021457604,0.017777394,0.024799465,0.020587387,0.020711232,0.016465463,0.020919872,0.017038894,0.026145705,0.018628487,0.024158719,0.020643899,,,,,,,
YALI0F02046g,0.000791482,0.001337836,0.000691571,0.000939966,0.000872115,0.001698771,0.001529278,0.001570879,0.001559249,0.001472879,0.001118076,0.001463139,0.000949487,0.001889762,0.000757083,0.001356064,0.001299602,0.001761653,0.001580324,0.000717522,0.001006412,0.00198099,0.000505775,0.001238331,,,,,,,
YALI0F04114g,0.028792508,0.022255785,0.031247762,0.019827515,0.023874862,0.030835636,0.022461866,0.028459535,0.030962318,0.020547319,0.035850702,0.028316504,0.029360004,0.029548993,0.025352315,0.031390487,0.028447782,0.027860581,0.027775125,0.022724568,0.026431445,0.017685069,0.028206589,0.033305559,,,,,,,
YALI0F06061g,0.020436317,0.013146666,0.017066139,0.01805628,0.018049587,0.018546865,0.019800998,0.019546797,0.019071462,0.01964407,0.016780822,0.018648245,0.021548884,0.020211738,0.019378283,0.017981949,0.019559641,0.020553267,0.02000488,0.014919493,0.020556095,0.016860594,0.019785269,0.019999736,,,,,,,
YALI0F06259g,0.001332275,0.001205775,0.001126497,0.001128644,0.001087573,0.000449924,0.001241276,0.000691701,0.001188166,0.001367787,0.001559634,0.00117874,0.00114014,0.001365947,0.000954962,0.001245785,0.001530191,0.001876355,0.001467658,0.001233275,0.001649215,0.001733429,0.001344804,0.00050133,,,,,,,
YALI0F06826g,0.009751845,0.007973356,0.009695943,0.009705316,0.009837802,0.010193128,0.008861324,0.007893077,0.00852377,0.007992318,0.010038211,0.007833202,0.009970389,0.009531688,0.009395889,0.004736891,0.01010136,0.009022348,0.01001716,0.005706361,0.009336872,0.007208238,0.010916548,0.008310188,,,,,,,
YALI0F13068g,8.77241E-05,0.000109518,8.48507E-05,0.000721693,0.00019555,0.000677605,0.000163593,5.74877E-05,5.9494E-05,0.000695815,6.60973E-05,0.000779873,0.000117917,0.001228958,0.000196886,5.77801E-05,6.63106E-05,0.000487194,7.69584E-05,0.000759567,0.000161983,0.000840329,0.00027428,7.94112E-05,,,,,,,
YALI0F13079g,0,0.001032198,0.000256599,0.000883026,0.000294002,0.000685441,0.000355592,0.001058426,0.001718215,0.001795152,0.000794222,0.001161317,0.000367725,0,0,0,0.000353905,0.001129551,0.000446321,0,0,0.001300275,0,0.000497652,,,,,,,
YALI0F13354g,0.00088635,0.000752083,0.000677814,0.001108972,0.000180293,0.000289538,0,0,0.000645663,0,0.001107216,0.000929133,0.000285837,0.000255743,0.000653239,0.000781364,0.000744588,0,0.000859103,0.000775013,0.001014901,0.000202586,0.00123684,0.000985178,,,,,,,
YALI0F18359g,0.004712495,0.008283856,0.007032459,0.009965951,0.008875915,0.010289659,0.007481651,0.003884595,0.00558692,0.008409313,0.008711419,0.00613517,0.008067193,0.009443031,0.007090269,0.003856418,0.009137018,0.005665654,0.004825366,0.004607994,0.007748774,0.010326711,0.008281749,0.003400856,,,,,,,
YALI0F18403g,0.000941331,0.00109194,0.000739741,0.001132401,0.001051527,0.000988642,0.001126766,0.001350842,0.001036514,0.000887866,0.001262658,0.001126098,0.001019597,0.000994444,0.001130103,0.001074531,0.00087496,0,0,0.000976772,0,0.001159939,0.001123631,0.000920264,,,,,,,
YALI0F21373g,0.000333896,0,0.000544748,0.000255044,0.000210243,0.000479388,0.000335087,0,0.000402553,0,0.000422409,0.000290712,0.000278487,0,0,0,0,6.87121E-05,0.000270248,0.000230781,0.000317771,0.000318715,0.00054884,0.000171016,,,,,,,
YALI0F29678g,0.001788812,0.001388769,0.002457589,0.001885652,0.003855006,0.003451764,0.00274954,0.002464165,0.00390775,0.00282126,0.001685508,0.002227327,0.002497161,0.001760519,0.00405538,0.00199795,0.002002464,0.003941909,0.002386811,0.003151287,0.004427671,0.003037785,0.004041893,0.00301184,,,,,,,
YALI0F30011g,0.001278966,0.000116586,0.001364689,0.000160694,0.002030976,0.000748272,0.000975944,0.000702793,0.000595372,0.001061302,0.000932744,0.000801779,0.00143739,0.001095937,0.001904774,0.000721224,0.00089162,0.000726761,0.000516534,0.000606783,0.000985143,0.000829205,0.000812591,0.001039917,,,,,,,
YALI0F30426g,0.005975711,0.006006609,0.006191221,0.004799728,0.005529991,0.005925118,0.006808315,0.005116057,0.006596502,0.00685848,0.00662662,0.006714766,0.007413144,0.0056097,0.005454333,0.006826268,0.006198384,0.006935319,0.005942862,0.005494774,0.00735134,0.004981774,0.006568307,0.005065046,,,,,,,
YALI0F31020g,0,5.13891E-05,0,0,0.000116275,6.83065E-05,0,7.64641E-05,0,9.47324E-05,0,0,0,0,0,0,0,8.47149E-05,0,0,8.0099E-05,7.18661E-05,0,6.86417E-05,,,,,,,
YALI0A21076g,0.016970948,0.011176853,0.012489694,0.010533159,0.012286652,0.01203291,0.019345875,0.016474434,0.019084527,0.017544471,0.021261862,0.015087422,0.014893745,0.019519419,0.013539938,0.014509256,0.015961376,0.018401714,0.021499073,0.019256581,0.018616612,0.018900104,0.019485055,0.01706581,,,,,,,
YALI0B13838g,0.000300042,0,0.000354047,0.000416687,0.000471001,0.000465234,0.000563091,0.000692479,0.000225016,0,0.000925245,0.000461957,0.000922546,0.000917614,0.00061685,0.00048646,0.001052745,0.000264271,0.001165913,0,0.000796779,0,0.001569894,0.000226463,,,,,,,
YALI0C05665g,0.013159045,0.011919758,0.014862349,0.009245171,0.012199782,0.006866665,0.014413144,0.012403565,0.013468209,0.012031868,0.01310255,0.011683873,0.010994686,0.011161976,0.013130212,0.009016493,0.012915699,0.011014583,0.013527972,0.01322338,0.013863134,0.012328343,0.014689884,0.010246398,,,,,,,
YALI0A09108g,0.000108393,0.000100881,9.45728E-05,0.00014611,0.000109289,7.13189E-05,8.01501E-05,0,8.71486E-05,8.78612E-05,7.84652E-05,4.49016E-05,7.6143E-05,9.54865E-05,0.000171879,5.64295E-05,6.12071E-05,4.65384E-05,8.40026E-05,8.4643E-05,0.000110006,8.96235E-05,0.000106692,0.000101872,,,,,,,
YALI0A10659g,0.161593388,0.211376009,0.189835593,0.207320268,0.175423294,0.225764335,0.162609871,0.232045257,0.201705493,0.218669928,0.164557646,0.2290499,0.204373993,0.19220075,0.172170387,0.244738635,0.184805558,0.223885907,0.150394391,0.246496541,0.144491253,0.161973948,0.155704817,0.239895062,,,,,,,
YALI0E34287g,0.001940091,0.001109,0.002114799,0.001256555,0.002057246,0.001481749,0.00275571,0.001628845,0.001693178,0.001326035,0.002205692,0.001851692,0.001676334,0.001170542,0.001885002,0.001552124,0.001948509,0.001538256,0.001675665,0.002008239,0.002317942,0.00140871,0.001639194,0.002288453,,,,,,,
YALI0B07667g,0.000111899,0.000680202,0,0.000570691,0.000613565,0,0.000204333,0.000529419,0.00029355,0.000627456,0.000350141,0.000522078,0.000587699,0.000512349,0.000160595,0.00065254,0.000165048,0.000155919,0.000223606,0.000321449,0.000701521,0.000546807,0,0.000167421,,,,,,,
YALI0B09361g,0.0006005,0.009179442,0.000213281,0.018195542,0,0.011098381,0,0.020997536,0.00026615,0.013744916,0.000787014,0.01668449,0.000842643,0.02673684,0.000539477,0.017468938,0.000178324,0.012627097,0,0.033176787,0.000415733,0.039723949,0,0.012174368,,,,,,,
YALI0C22770g,0.003374892,0.001291198,0.002889419,0.001118615,0.002868043,0.001421272,0.002963112,0.003235946,0.003495699,0.002725657,0.003475204,0.003408298,0.002018003,0.003235357,0.003403665,0.002664055,0.003092261,0.003251152,0.004015587,0.002116231,0.003149491,0.002091574,0.002354456,0.003132081,,,,,,,
YALI0F00924g,0.012130313,0.012637275,0.012592596,0.013319155,0.013677992,0.014258476,0.01241964,0.014856858,0.012627145,0.01614927,0.014398165,0.012766039,0.015294294,0.014935241,0.013469321,0.011234848,0.01585132,0.015435968,0.011252885,0.011481288,0.015990457,0.013517082,0.015475612,0.012484475,,,,,,,
YALI0E34309g,0.012668216,0.010846433,0.014228031,0.01162973,0.013690608,0.011678748,0.013023429,0.014357605,0.015227065,0.010824661,0.013603859,0.012611537,0.014241757,0.01054766,0.015144255,0.015149456,0.01242636,0.014952892,0.013748313,0.012334501,0.01601068,0.009279741,0.01368186,0.012060809,,,,,,,
YALI0F17248g,0.077251739,0.056630632,0.06733267,0.069540179,0.077924712,0.063097962,0.072859978,0.077464253,0.07805817,0.0703947,0.076693179,0.079078063,0.070998634,0.075029668,0.069780716,0.080585561,0.08027915,0.070503382,0.074370106,0.077780034,0.068453049,0.05904877,0.06589049,0.073168228,,,,,,,
YALI0E27654g,0.003245417,0.001343799,0.003349406,0.001665121,0.0017233,0.002906683,0.004594265,0.002406537,0.007401349,0.002583014,0.005481693,0.002129859,0.003893712,0.00298768,0.005310336,0.002613345,0.006412711,0.001789256,0.007039373,0.003136066,0.005316966,0.002839745,0.005605438,0.003604712,,,,,,,
YALI0C23859g,0.001411933,0.001365073,0.001142857,0.001716851,0.000931276,0.002033368,0,0.001184525,0.000462109,0.000485495,0.001282083,0.0014061,0.001572066,0.001549957,0.000211785,0.001462835,0.00203294,0.000669477,0.002316458,0.000335231,0.000483781,0.000211986,0.001649303,0.000588035,,,,,,,
YALI0D26315g,0.011102914,0.010374761,0.009533282,0.008336954,0.011324716,0.010340791,0.012577426,0.009849549,0.012311566,0.012041817,0.011251929,0.009425993,0.011976957,0.011883952,0.010059054,0.01224343,0.012285577,0.012448187,0.011774457,0.009096115,0.010237437,0.010436605,0.009494192,0.008465931,,,,,,,
YALI0E01056g,0.295394158,0.240611515,0.310854025,0.247797536,0.302432602,0.242511312,0.300055936,0.24544507,0.285573443,0.247191083,0.301845692,0.244714925,0.292912545,0.245597263,0.320462583,0.230434731,0.298831739,0.229847977,0.25352168,0.19280955,0.281623318,0.21826185,0.279654169,0.192333844,,,,,,,
YALI0E25845g,0.001010155,0.001618009,0.001664925,0.000655184,0.000547209,0.00068715,0.0004393,0,0.000536033,0.001212188,0.001971421,0.000935377,0.001047563,0.000803922,0.00162246,0.000431016,0.000934311,0.000421542,0.001356112,0.002031612,0.001447635,0.00108538,0.000858088,0.002287677,,,,,,,
YALI0B20372g,0.056595166,0.044786249,0.060603196,0.054213235,0.054049327,0.055572146,0.050721654,0.052622905,0.050499449,0.052166957,0.058317043,0.056300185,0.047682907,0.054882644,0.072217383,0.062542389,0.048886651,0.05760588,0.052655557,0.069327661,0.046265477,0.050845386,0.052938107,0.065085853,,,,,,,
YALI0B22308g,0.016481744,0.015101398,0.016175728,0.014611793,0.015071784,0.014322599,0.020427306,0.014946267,0.021716015,0.01482632,0.019477057,0.015505247,0.017437681,0.016578741,0.021246852,0.016765891,0.018765177,0.016873673,0.022656849,0.015888709,0.018873848,0.017950788,0.018520708,0.016456114,,,,,,,
YALI0E29095g,0.053358003,0.053590298,0.053244152,0.046621142,0.05610437,0.050676629,0.053515884,0.056769913,0.042917687,0.053031647,0.045685327,0.047099974,0.049605331,0.061420933,0.051067475,0.051255273,0.057149485,0.050345159,0.048845536,0.052580439,0.051696098,0.058706942,0.041685111,0.048863689,,,,,,,
YALI0E04400g,0.000190077,0,0.000111662,0,0.000160816,0.000212923,0.000150844,0,0,0,0.000248862,7.95833E-05,0.000141299,0.000129399,0.000150672,0,0.000142672,8.38432E-05,0.000242427,0,0.000188065,0,0.000194071,8.49878E-06,,,,,,,
ADH2,0.056601683,0.031802566,0.054256836,0.023185543,0.029042662,0.022084865,0.057510011,0.024917108,0.077307779,0.030565283,0.06800227,0.026298308,0.056420327,0.024258152,0.066061677,0.026666678,0.055066451,0.021155189,0.032888919,0.01240385,0.033365061,0.011387771,0.036520957,0.012648618,,,,,,,
YALI0A20350g,0.006580965,0.051418768,0.006569989,0.080610372,0.006387203,0.049373066,0.002775014,0.044891682,0.004415282,0.02472262,0.001655324,0.030968997,0.003356411,0.050831844,0.001413819,0.029070958,0.002139188,0.020815513,0.003092688,0.057520485,0.003050851,0.088379655,0.005868361,0.037728563,,,,,,,
YALI0F24563g,0.001019855,0.000720762,0.001004059,0.000638925,0.001223402,0.000804186,0.000797668,0.000621352,0.001664383,0.000694357,0.000778733,0.00076462,0.001065803,0.000669402,0.0011721,0.001297843,0.001152012,0.000791421,0.001011795,0.001108006,0.000764636,0.001311364,0.000775964,0.000835235,,,,,,,
YALI0E18788g,0.005120907,0.014616448,0.002629422,0.005733836,0.003901561,0.005695596,0.004230965,0.002482417,0.003467276,0.005309838,0.00267722,0.002995207,0.006766851,0.00699987,0.005731224,0.006626665,0.005784976,0.008367196,0.006680635,0.011100919,0.005626227,0.004879647,0.003273817,0.009940988,,,,,,,
