"yarrowiacyc"	"Row Labels"	"Description"	"UniProt"	"CLB22 Gene Name"	"CLB22 GO (biological process)"	"CLB22 GO (cellular component)"	"CLB22 GO (molecular function)"	"WT_A"	"WT_B"	"WT_C"	"WT_D"	"F174_A"	"F174_B"	"F174_D"	"F174_E"	"UVF4_A"	"UVF4_B"	"UVF4_C"	"UVF4_D"	"UVF4_E"	"p"	"q"	"nWT"	"nF174"	"nUVF4"	"log2FoldChange(F174/WT)"	"log2FoldChange(UVF4/WT)"	"log2FoldChange(UVF4/F174)"	"PresentOnlyWT"	"PresentOnlyF174"	"PresentOnlyUVF4"	"AbsentOnlyWT"	"AbsentOnlyF174"	"AbsentOnlyUVF4"	"Pass pq"	"Pass FoldChange"	"PassUniquePresence"	"PassUniqueAbsence"	"PassOverall"	"pq WT vs F174"	"Similarity_Yarlip1.to.yarrowiacyc"	"Similarity_yarrowiacyc.to.Yarlip1"
G1FV3-24302-MONOMER	"jgi|Yarlip1|100363|estExt_Genewise1.C_5_t20075"	"jgi|Yarlip1|100363|estExt_Genewise1.C_5_t20075"	"Q6C6T5"	"YALI0E06457p"	"lysine biosynthetic process via aminoadipic acid [GO:0019878]"	"0"	"L-aminoadipate-semialdehyde dehydrogenase activity [GO:0004043]; phosphopantetheine binding [GO:0031177]"	"37.90305861844997"	"37.75083328298869"	"38.00418603529881"	"37.743149783705796"	"37.92089320135062"	"37.885554348425245"	"37.768495253997244"	"38.17636794220634"	"37.64748235189535"	"37.650656267248685"	"37.85650041130488"	"37.54995133268514"	"37.572191742509446"	"0.0330531663056251"	"0.176491628833586"	"4"	"4"	"5"	"0.08752075638404477"	"-0.1949505089821173"	"-0.28247126536616207"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-24320-MONOMER	"jgi|Yarlip1|100396|estExt_Genewise1.C_5_t20111"	"jgi|Yarlip1|100396|estExt_Genewise1.C_5_t20111"	"Q6C6R7"	"MICOS complex subunit"	"cristae formation [GO:0042407]"	"MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]"	"0"	"36.66941067958413"	"36.66830857946373"	"36.19389696729359"	"36.37252958905498"	"36.13869582448526"	"36.670992481914034"	"36.68887992007948"	"36.312430009927105"	"36.41021650050512"	"37.009075271317435"	"36.06581500272152"	"36.76922131092139"	"36.47231710007107"	"0.890490921945903"	"0.561840406175249"	"4"	"4"	"5"	"-0.02328689474763479"	"0.06929258325820342"	"0.09257947800583821"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25805-MONOMER	"jgi|Yarlip1|100741|estExt_Genewise1.C_6_t10077"	"jgi|Yarlip1|100741|estExt_Genewise1.C_6_t10077"	"Q6C2Y0"	"Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)"	"glycogen catabolic process [GO:0005980]"	"cytoplasm [GO:0005737]"	"glycogen phosphorylase activity [GO:0008184]; linear malto-oligosaccharide phosphorylase activity [GO:0102250]; pyridoxal phosphate binding [GO:0030170]; SHG alpha-glucan phosphorylase activity [GO:0102499]"	"30.089146671097982"		"28.689325248335003"	"29.575352622543427"	"30.771402217741485"	"31.424267998826593"	"25.933438352279836"	"30.958665932612213"	"28.795661833625566"	"29.994154435835434"	"30.031047886499337"	"27.796398520024926"		"0.883735088965411"	"0.561293175149976"	"3"	"4"	"4"	"0.3206687780395576"	"-0.2969591783291605"	"-0.6176279563687181"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25494-MONOMER	"jgi|Yarlip1|125262|fgenesh1_kg.4_#_738_#_TRINITY_DN5017_c0_g1_i1"	"jgi|Yarlip1|125262|fgenesh1_kg.4_#_738_#_TRINITY_DN5017_c0_g1_i1"	"Q6C3R8"	"YALI0E32637p"	"protein import into nucleus [GO:0006606]"	"nuclear envelope [GO:0005635]"	"nuclear import signal receptor activity [GO:0061608]"											"26.51890355381213"	"24.58651959364442"	"26.399320826697526"			"0"	"0"	"3"				"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-25850-MONOMER	"jgi|Yarlip1|100812|estExt_Genewise1.C_6_t10149"	"jgi|Yarlip1|100812|estExt_Genewise1.C_6_t10149"	"Q6C2T9"	"Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)"	"canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]"	"cytosol [GO:0005829]; mitochondrion [GO:0005739]"	"triose-phosphate isomerase activity [GO:0004807]"	"40.50697044548243"	"40.28200970176191"	"40.03590699919927"	"40.16134945622029"	"40.29055382432315"	"39.97101840718175"	"40.16713366572506"	"40.1640687571038"	"40.04032057856647"	"40.37932425171363"	"39.97844309578277"	"40.20575248173359"	"40.09389077761481"	"0.596983477639127"	"0.475785281205352"	"4"	"4"	"5"	"-0.0983654870825319"	"-0.10701291358371634"	"-0.008647426501184441"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25971-MONOMER	"jgi|Yarlip1|101054|estExt_Genewise1.C_6_t10396"	"jgi|Yarlip1|101054|estExt_Genewise1.C_6_t10396"	"Q6C2H9"	"YALI0F07755p"	"maturation of 5.8S rRNA [GO:0000460]"	"nucleus [GO:0005634]"	"0"					"25.402203042416584"						"26.247388364775563"					"0"	"1"	"1"			"0.8451853223589794"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25992-MONOMER	"jgi|Yarlip1|101089|estExt_Genewise1.C_6_t10432"	"jgi|Yarlip1|101089|estExt_Genewise1.C_6_t10432"	"Q6C2G0"	"YALI0F08195p"	"cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; response to cadmium ion [GO:0046686]"	"mitochondrion [GO:0005739]"	"thioredoxin peroxidase activity [GO:0008379]"	"38.077218408777775"	"38.00837256653426"	"38.16083820529872"	"37.648076566333714"	"37.7731170883528"	"38.09215008853292"	"37.93370847755549"	"38.109187239874636"	"37.985107461411744"	"37.66747543405001"	"37.8135637338196"	"37.58511560720554"	"37.725749317286365"	"0.148764548364705"	"0.290492481483146"	"4"	"4"	"5"	"0.003414286842840397"	"-0.21822412598147167"	"-0.22163841282431207"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-26019-MONOMER	"jgi|Yarlip1|101158|estExt_Genewise1.C_6_t20001"	"jgi|Yarlip1|101158|estExt_Genewise1.C_6_t20001"	"Q6C2D2"	"YALI0F08855p"	"activation of protein kinase activity [GO:0032147]; regulation of apoptotic process [GO:0042981]; regulation of mitotic cell cycle [GO:0007346]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]"	"cytoplasm [GO:0005737]"	"ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]"											"29.857033996989145"	"29.74896798710277"				"0"	"0"	"2"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25584-MONOMER	"jgi|Yarlip1|125401|fgenesh1_kg.4_#_877_#_TRINITY_DN584_c0_g1_i1"	"jgi|Yarlip1|125401|fgenesh1_kg.4_#_877_#_TRINITY_DN584_c0_g1_i1"	"B5FVG7"	"YALI0E34540p"	"aerobic respiration [GO:0009060]; mitochondrial respiratory chain complex IV assembly [GO:0033617]"	"mitochondrial intermembrane space [GO:0005758]"	"0"	"30.678309605861507"	"28.997980715058652"		"30.13524692265631"						"28.059408169399475"	"28.912878968707435"	"26.981417118774736"				"3"	"0"	"3"		"-1.952610995564939"		"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"100.0"	"100.0"
G1FV3-24222-MONOMER	"jgi|Yarlip1|125770|fgenesh1_kg.5_#_323_#_TRINITY_DN1185_c0_g2_i1"	"jgi|Yarlip1|125770|fgenesh1_kg.5_#_323_#_TRINITY_DN1185_c0_g2_i1"	"Q6C712"	"Serine/threonine-protein phosphatase 2A activator 2 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase PTPA-2) (PPIase PTPA-2) (Rotamase PTPA-2) (Phosphotyrosyl phosphatase activator 2)"	"0"	"cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]"	"peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein tyrosine phosphatase activator activity [GO:0008160]"									"30.23432171622575"	"30.011586598413352"		"30.43440037339092"	"30.195776565917303"			"0"	"0"	"4"				"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-26154-MONOMER	"jgi|Yarlip1|101442|estExt_Genewise1.C_6_t20291"	"jgi|Yarlip1|101442|estExt_Genewise1.C_6_t20291"	"Q6C204"	"YALI0F11913p"	"cytogamy [GO:0000755]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]"	"integral component of plasma membrane [GO:0005887]"	"mating-type factor pheromone receptor activity [GO:0004932]"		"25.41406194189314"		"25.686162159227973"												"2"	"0"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-27693-MONOMER	"jgi|Yarlip1|101815|estExt_Genewise1.C_7_t10377"	"jgi|Yarlip1|101815|estExt_Genewise1.C_7_t10377"	"Q6C948"	"YALI0D14102p"	"mRNA splicing, via spliceosome [GO:0000398]"	"catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; post-mRNA release spliceosomal complex [GO:0071014]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682]"	"RNA binding [GO:0003723]"	"31.581017871793748"	"32.77201823065526"	"32.87870138904353"	"33.3734493445349"	"32.86468749103614"	"32.11647489761794"	"31.51446322873102"	"33.02973227903913"	"33.41358111065303"	"32.23643321425947"	"32.96416536388616"	"32.9901691811809"	"33.245287750445144"	"0.412517912772774"	"0.416821575465358"	"4"	"4"	"5"	"-0.2699572349008008"	"0.318630615078078"	"0.5885878499788788"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-30573-MONOMER	"jgi|Yarlip1|102238|estExt_Genewise1.C_80211"	"jgi|Yarlip1|102238|estExt_Genewise1.C_80211"	"Q6CHX5"	"YALI0A03773p"	"0"	"nucleolus [GO:0005730]; preribosome [GO:0030684]"	"RNA binding [GO:0003723]"	"32.78211388699544"	"32.45057547135983"	"31.304770871663134"	"31.5087906088404"	"29.26046784857558"	"33.113756498279486"	"31.52710113446003"	"32.10422109084377"	"30.90700243732388"	"31.95392597826434"	"32.01156327305552"	"32.37921491541714"	"30.004638988938485"	"0.745485998224976"	"0.524962196715063"	"4"	"4"	"5"	"-0.5101760666749797"	"-0.5602935911148208"	"-0.05011752443984108"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-30595-MONOMER	"jgi|Yarlip1|102261|estExt_Genewise1.C_80237"	"jgi|Yarlip1|102261|estExt_Genewise1.C_80237"	"Q6CHW2"	"YALI0A04301p"	"0"	"0"	"0"		"25.55112830710667"														"1"	"0"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-27255-MONOMER	"jgi|Yarlip1|102586|estExt_Genewise1.C_9_t10119"	"jgi|Yarlip1|102586|estExt_Genewise1.C_9_t10119"	"Q6CAA3"	"YALI0D04554p"	"0"	"outer membrane [GO:0019867]"	"0"	"36.65802825765879"	"36.62994040997396"	"36.62883426426884"	"36.47823944418267"	"36.294106434852175"	"36.18143714251306"	"36.50704577231999"	"36.74933053507968"	"36.44567595446185"	"36.16889928499504"	"36.7104767960131"	"36.0367846808005"	"36.27533469414798"	"0.23027873705895"	"0.341152395011051"	"4"	"4"	"5"	"-0.16578062282983552"	"-0.2713263119373721"	"-0.10554568910753659"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-24459-MONOMER	"jgi|Yarlip1|126130|fgenesh1_kg.5_#_683_#_TRINITY_DN9929_c1_g1_i1"	"jgi|Yarlip1|126130|fgenesh1_kg.5_#_683_#_TRINITY_DN9929_c1_g1_i1"	"Q6C6F1"	"YALI0E10043p"	"calcium-mediated signaling [GO:0019722]"	"cytoplasm [GO:0005737]"	"calcium-dependent protein serine/threonine phosphatase regulator activity [GO:0008597]"	"30.515259416536484"	"30.39866460322992"		"24.417124202801446"												"3"	"0"	"0"				"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"100.0"	"100.0"
G1FV3-27175-MONOMER	"jgi|Yarlip1|102755|estExt_Genewise1.C_9_t10293"	"jgi|Yarlip1|102755|estExt_Genewise1.C_9_t10293"	"Q6CAH8"	"YALI0D02651p"	"0"	"0"	"0"								"29.72356166418681"								"0"	"1"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-24683-MONOMER	"jgi|Yarlip1|103009|estExt_Genewise1.C_10_t10041"	"jgi|Yarlip1|103009|estExt_Genewise1.C_10_t10041"	"Q6C5V1"	"YALI0E14971p"	"0"	"0"	"0"			"29.717446018180567"								"18.111069428336442"					"1"	"0"	"1"		"-11.606376589844125"		"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99.63"	"99.63"
G1FV3-24717-MONOMER	"jgi|Yarlip1|103083|estExt_Genewise1.C_10_t10115"	"jgi|Yarlip1|103083|estExt_Genewise1.C_10_t10115"	"Q6C5R9"	"Malate synthase (EC 2.3.3.9)"	"glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]"	"peroxisomal matrix [GO:0005782]"	"malate synthase activity [GO:0004474]"	"38.21560057356747"	"38.233244009387626"	"38.21995011849709"	"38.217040616462306"	"38.02871419329972"	"38.037657214314336"	"38.17142443324195"	"38.257982817618725"	"38.45547037427381"	"38.35718427326792"	"38.43971677928813"	"38.32201333345395"	"38.2774993880953"	"0.00249314670984352"	"0.0718182071154451"	"4"	"4"	"5"	"-0.09751416485993758"	"0.1489180001971988"	"0.2464321650571364"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-25813-MONOMER	"jgi|Yarlip1|126277|fgenesh1_kg.6_#_108_#_TRINITY_DN2658_c0_g1_i1"	"jgi|Yarlip1|126277|fgenesh1_kg.6_#_108_#_TRINITY_DN2658_c0_g1_i1"	"Q6C2X3"	"YALI0F04356p"	"0"	"0"	"ATP binding [GO:0005524]"	"26.251656054396143"	"31.846775728667676"		"31.640350711588706"							"29.94209667521066"	"29.54257491772788"	"26.26556468752063"			"3"	"0"	"3"		"-1.3295154047311186"		"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"100.0"	"100.0"
G1FV3-25823-MONOMER	"jgi|Yarlip1|126292|fgenesh1_kg.6_#_123_#_TRINITY_DN11192_c0_g1_i1"	"jgi|Yarlip1|126292|fgenesh1_kg.6_#_123_#_TRINITY_DN11192_c0_g1_i1"	"Q6C2W5"	"DNA primase large subunit (EC 2.7.7.-)"	"double-strand break repair [GO:0006302]"	"alpha DNA polymerase:primase complex [GO:0005658]; nuclear envelope [GO:0005635]"	"4 iron, 4 sulfur cluster binding [GO:0051539]; DNA-directed DNA polymerase activity [GO:0003887]; DNA primase activity [GO:0003896]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]"									"29.07009637074645"		"27.349252338079594"		"27.79277957278134"			"0"	"0"	"3"				"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"100.0"	"100.0"
G1FV3-24876-MONOMER	"jgi|Yarlip1|103435|estExt_Genewise1.C_10_t10489"	"jgi|Yarlip1|103435|estExt_Genewise1.C_10_t10489"	"Q6C5C1"	"YALI0E19338p"	"0"	"integral component of membrane [GO:0016021]"	"ATP binding [GO:0005524]; cation-transporting ATPase activity [GO:0019829]"	"22.2250861997416"															"1"	"0"	"0"				"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-29148-MONOMER	"jgi|Yarlip1|103606|estExt_Genewise1.C_110025"	"jgi|Yarlip1|103606|estExt_Genewise1.C_110025"	"Q6CBE2"	"YALI0C19668p"	"0"	"cytoplasm [GO:0005737]; plasma membrane [GO:0005886]"	"FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]"	"32.477968705758556"	"33.0729445184778"	"33.30707885023314"	"32.948226626479126"	"32.6770277754077"	"32.74447025002989"	"33.36788178000445"	"34.2028952438479"	"33.47644279464099"	"33.608852165805324"	"34.322930655222926"	"33.413173652842495"	"33.13237232967432"	"0.227519416851179"	"0.339186347998594"	"4"	"4"	"5"	"0.29651408708532756"	"0.6391996444000583"	"0.3426855573147307"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"85.67"	"85.67"
G1FV3-29195-MONOMER	"jgi|Yarlip1|103686|estExt_Genewise1.C_110116"	"jgi|Yarlip1|103686|estExt_Genewise1.C_110116"	"Q6CBA2"	"F-actin-capping protein subunit beta"	"actin cortical patch organization [GO:0044396]; barbed-end actin filament capping [GO:0051016]; cell morphogenesis [GO:0000902]; mitotic actomyosin contractile ring assembly [GO:1903475]; mitotic actomyosin contractile ring contraction [GO:1902404]; negative regulation of actin filament annealing [GO:0110055]; negative regulation of barbed-end actin filament capping [GO:2000813]; positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601]"	"actin body [GO:0099079]; actin cortical patch [GO:0030479]; actin filament [GO:0005884]; F-actin capping protein complex [GO:0008290]; mating projection tip [GO:0043332]; medial cortex [GO:0031097]; nucleus [GO:0005634]"	"actin filament binding [GO:0051015]"	"34.397240188066434"	"34.931701922635895"	"34.66529256165602"	"34.90586304905082"	"34.60083228886208"	"35.116190775440124"	"35.66224726233934"	"34.26776498052234"	"34.527474045532166"	"35.26822093940553"	"35.492540747175596"	"34.830998663733084"	"34.40566062186486"	"0.811633198981715"	"0.540467520367034"	"4"	"4"	"5"	"0.1867343964386805"	"0.17995457318995278"	"-0.006779823248727723"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100.0"	"100.0"
G1FV3-27817-MONOMER	"jgi|Yarlip1|126999|fgenesh1_kg.7_#_144_#_TRINITY_DN2892_c0_g2_i3"	"jgi|Yarlip1|126999|fgenesh1_kg.7_#_144_#_TRINITY_DN2892_c0_g2_i3"	"Q6C8T8"	"Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase)"	"cytidine deamination [GO:0009972]; deoxycytidine catabolic process [GO:0006217]; pyrimidine-containing compound salvage [GO:0008655]"	"cytosol [GO:0005829]; nucleus [GO:0005634]"	"cytidine deaminase activity [GO:0004126]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]"	"27.193005358104166"	"26.083691131005633"		"24.79094183936317"												"3"	"0"	"0"				"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"100.0"	"100.0"
